length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
150	143	0	0.9533333333333334	286	0.0	0.0
150	144	0	0.96	383	0.0	0.0
150	145	0	0.9666666666666667	222	0.0	0.0
150	146	0	0.9733333333333334	117	0.0	0.0
150	147	0	0.98	15	0.0	0.0
150	148	0	0.9866666666666667	38	0.0	0.0
150	149	0	0.9933333333333333	34	0.0	0.0
150	150	0	1.0	13	0.0	0.0
151	0	0	0.0	105314	0.0	0.0
151	1	0	0.006622516556291391	85184	0.0	0.0
151	2	0	0.013245033112582781	97020	0.0	0.0
151	3	0	0.019867549668874173	103545	0.0	0.0
151	4	0	0.026490066225165563	108779	0.0	0.0
151	5	0	0.033112582781456956	123444	0.0	0.0
151	6	0	0.039735099337748346	128429	0.0	0.0
151	7	0	0.046357615894039736	135142	0.0	0.0
151	8	0	0.052980132450331126	138157	0.0	0.0
151	9	0	0.059602649006622516	143590	0.0	0.0
151	10	0	0.06622516556291391	144138	0.0	0.0
151	11	0	0.0728476821192053	147747	0.0	0.0
151	12	0	0.07947019867549669	157269	0.0	0.0
151	13	0	0.08609271523178808	163734	0.0	0.0
151	14	0	0.09271523178807947	176186	0.0	0.0
151	15	0	0.09933774834437085	191020	0.0	0.0
151	16	0	0.10596026490066225	204001	0.0	0.0
151	17	0	0.11258278145695365	226558	0.0	0.0
151	18	0	0.11920529801324503	256506	0.0	0.0
151	19	0	0.12582781456953643	288853	0.0	0.0
151	20	0	0.13245033112582782	332046	0.0	0.0
151	21	0	0.1390728476821192	398309	0.0	0.0
151	22	1	0.1456953642384106	491873	0.8066377044889059	0.0
151	23	1	0.152317880794702	629164	0.6306198505001425	0.0
151	24	2	0.15894039735099338	820657	0.9669406527211042	0.0
151	25	0	0.16556291390728478	1093906	0.0	0.0
151	26	0	0.17218543046357615	1485593	0.0	0.0
151	27	0	0.17880794701986755	2043631	0.0	0.0
151	28	2	0.18543046357615894	2831480	0.2802515346179889	0.09576604329051894
151	29	2	0.19205298013245034	3920253	0.20241719481884032	0.18596232082332909
151	30	1	0.1986754966887417	5388640	0.0736295814194438	0.23191860761778973
151	31	3	0.2052980132450331	7284823	0.16339311509150117	0.26571949358573554
151	32	16	0.2119205298013245	9735451	0.6520717860858368	0.28444678835253023
151	33	8	0.2185430463576159	12829614	0.24740467335654628	0.32898734849374783
151	34	18	0.2251655629139073	16597752	0.430283543046148	0.38038821615173696
151	35	20	0.23178807947019867	21129732	0.3755497775552209	0.3986242555943312
151	36	25	0.23841059602649006	26374481	0.3760863650929014	0.42483622234643487
151	37	36	0.24503311258278146	32373264	0.44121220134993433	0.4644688977780689
151	38	45	0.25165562913907286	38980256	0.4580356999939462	0.4968240624282567
151	39	52	0.2582781456953642	46190593	0.44666436727157244	0.5348435146798489
